STATEFIPS,STATE,ZIPCODE,AGI_STUB,No_of_Returns,AGI,Returns__Tot_Income,Tot_Income,Returns_Sal_Wages,Sal_Wages_Amt
6,CA,92563,6,31120.0,2212988.0,31120.0,2234928.0,26410.0,1740245.0
6,CA,92567,1,4270.0,217205.0,4270.0,219290.0001,3590.0,171358.0
6,CA,92570,4,23120.0,998270.0,23120.0,1008045.0,19890.0,818588.0
6,CA,92571,5,24550.0,1075179.0,24550.0,1083129.0,22400.0,967483.0
6,CA,92582,2,8530.0,421078.0,8530.0,424528.0001,7560.0,367907.0
6,CA,92583,3,12870.0,511840.0,12870.0,515626.0001,11060.0,425072.0
6,CA,92584,5,24480.0,1704443.0,24480.0,1720552.0,20430.0,1335444.0
6,CA,92585,3,10740.0,657274.0,10740.0,663556.0,9100.0,528180.0
6,CA,92586,2,10260.0,493301.0,10260.0,497772.0,6850.0,315626.0
6,CA,92587,3,7980.0,619517.0,7980.0,626924.0,6300.0,424237.0
6,CA,92590,1,2190.0,239177.0,2190.0,243464.0,1750.0,119451.0
6,CA,92591,5,18670.0,1442480.0,18670.0,1461163.0,15410.0,1040808.0
6,CA,92592,6,34570.0,3143528.0,34570.0,3182033.0,28740.0,2216803.0
6,CA,92595,4,15690.0,945698.0,15690.0,955810.0,13000.0,733773.0
6,CA,92596,4,13100.0,955582.0,13090.0,964594.0,11360.0,783697.0
6,CA,92602,5,12860.0,1866127.0,12850.0,1896131.0,10820.0,1269939.0
6,CA,92603,6,8990.0,2320142.0,8990.0,2357011.0,6860.0,1202364.0
6,CA,92604,5,13060.0,1320440.0,13060.0,1341342.0,10200.0,935023.0
6,CA,92606,5,10500.0,1091099.0,10500.0,1105525.0,8950.0,820184.0
6,CA,92610,3,6090.0,739191.0,6090.0,749146.0,5470.0,605053.0
6,CA,92612,5,13050.0,1402239.0,13050.0,1422022.0,10400.0,889995.0
6,CA,92614,5,13680.0,1579020.0,13680.0,1601113.0,11480.0,1044840.0
6,CA,92617,2,3600.0,401509.0,3600.0,404867.0,3370.0,314260.0
6,CA,92618,6,23940.0,3401963.0,23940.0,3448810.0,20510.0,2559647.0
6,CA,92620,6,26550.0,3267323.0,26550.0,3319357.0,21990.0,2389754.0
6,CA,92624,2,3780.0,437538.0,3770.0,444474.0,2770.0,232747.0
6,CA,92625,6,6360.0,2812031.0,6360.0,2847978.0,4040.0,953573.0
6,CA,92626,6,25420.0,2387377.0,25420.0,2419383.0,21010.0,1571904.0
6,CA,92627,6,30180.0,2295595.0,30180.0,2332059.0,25080.0,1721863.0
6,CA,92629,6,14470.0,2143912.0,14470.0,2180760.0,10290.0,1084340.0
6,CA,92630,6,32690.0,2925140.0,32690.0,2963091.0,27110.0,2208665.0
6,CA,92637,3,10030.0,720634.0,10030.0,727125.0,3300.0,154806.0
6,CA,92646,6,29160.0,2963570.0,29160.0,3002897.0,21860.0,1940800.0
6,CA,92647,6,29580.0,2232235.0,29580.0,2257577.0,24330.0,1619601.0
6,CA,92648,6,24270.0,3185833.0,24270.0,3237545.0,19020.0,1893433.0
6,CA,92649,6,18040.0,2556019.0,18040.0,2589154.0,13690.0,1318286.0
6,CA,92651,6,12120.0,3422538.0,12120.0,3482586.0,8040.0,1378587.0
6,CA,92653,6,14800.0,2069513.0,14800.0,2098058.0,11740.0,1169009.0
6,CA,92655,1,3990.0,156198.0,3990.0,158009.0001,3260.0,123105.0
6,CA,92656,6,25590.0,2858449.0,25590.0,2895057.0,22150.0,2150414.0
6,CA,92657,6,4710.0,2408917.0,4710.0,2444956.0,3290.0,778039.0
6,CA,92660,6,17830.0,5676166.0,17830.0,5765270.0,12400.0,2278846.0
6,CA,92661,2,1740.0,415725.0,1740.0,422697.0,1210.0,134536.0
6,CA,92662,2,1420.0,366608.0,1420.0,375610.0,810.0,110881.0
6,CA,92663,6,10830.0,2132064.0,10830.0,2164005.0,8200.0,995527.0
6,CA,92672,6,18710.0,2324837.0,18710.0,2361215.0,14530.0,1281541.0
6,CA,92673,6,13690.0,2368221.0,13690.0,2405799.0,10620.0,1415683.0
6,CA,92675,6,17550.0,2327875.0,17550.0,2365086.0,13390.0,1223787.0
6,CA,92676,1,1020.0,142259.0,1020.0,144827.0,780.0,77938.0
6,CA,92677,6,32540.0,4509944.0,32540.0,4585133.0,25030.0,2713291.0
6,CA,92679,6,14960.0,3150179.0,14960.0,3200082.0,12410.0,1890404.0
6,CA,92683,6,44470.0,2374908.0,44470.0,2402077.0,35520.0,1782980.0
6,CA,92688,6,21440.0,2188292.0,21440.0,2212739.0,18910.0,1777235.0
6,CA,92691,6,24260.0,2218544.0,24260.0,2246863.0,19590.0,1623894.0
6,CA,92692,6,23570.0,2694485.0,23570.0,2733643.0,18020.0,1792627.0
6,CA,92694,6,14600.0,3023479.0,14600.0,3060885.0,12180.0,1894430.0
